id,russian,type,gender,aspect,english,archived
578,осо́бый,adjective,,,special; particular,FALSE
579,ина́че,adverb,,,otherwise; differently,FALSE
580,умере́ть,verb,,perfective,to die,FALSE
581,класс,noun,masculine,,class,FALSE
582,усло́вие,noun,neuter,,condition; term,FALSE
583,центр,noun,masculine,,centre,FALSE
584,краси́вый,adjective,,,beautiful; handsome,FALSE
585,ско́ро,adverb,,,soon,FALSE
586,пре́жде,preposition,,,before; previously; formerly,FALSE
587,пить,verb,,imperfective,to drink,FALSE
588,встре́ча,noun,feminine,,meeting; encounter,FALSE
589,дире́ктор,noun,masculine,,director,FALSE
590,рубль,noun,masculine,,rouble,FALSE
591,одна́жды,adverb,,,once; one day,FALSE
592,слу́жба,noun,feminine,,service,FALSE
593,проце́сс,noun,masculine,,process,FALSE
594,бли́зкий,adjective,,,close; near,FALSE
595,чистый,adjective,,,clean; pure,FALSE
596,президе́нт,noun,masculine,,president,FALSE
597,па́мять,noun,feminine,,memory,FALSE
598,сквозь,preposition,,,through; across,FALSE
599,сообщить,verb,,perfective,to inform; to report,FALSE
600,челове́ческий,adjective,,,human; of man,FALSE
601,назва́ть,verb,,perfective,to name; to call,FALSE
602,сей,adjective,,,this (archaic/literary adj),FALSE
603,геро́й,noun,masculine,,hero,FALSE
604,дух,noun,masculine,,spirit,FALSE
605,худо́й,adjective,,,thin; lean,FALSE
606,ми́мо,preposition,,,past; by,FALSE
607,возмо́жно,adverb,,,possibly; perhaps,FALSE
608,враг,noun,masculine,,enemy,FALSE
609,уби́ть,verb,,perfective,to kill,FALSE
610,кста́ти,adverb,,,by the way; incidentally,FALSE
611,чужо́й,adjective,,,someone else's; alien; strange,FALSE
612,согласи́ться,verb,,perfective,to agree,FALSE
613,сча́стье,noun,neuter,,happiness,FALSE
614,удар,noun,masculine,,blow; strike,FALSE
615,ста́рший,adjective,,,elder; senior; older,FALSE
616,вме́сто,preposition,,,instead of,FALSE
617,самолёт,noun,masculine,,aeroplane,FALSE
618,тру́дно,adverb,,,it is difficult; with difficulty,FALSE
619,улыбну́ться,verb,,perfective,to smile,FALSE
620,дере́вня,noun,feminine,,village,FALSE
621,карти́на,noun,feminine,,picture; painting,FALSE
622,улыба́ться,verb,,imperfective,to smile (habitual),FALSE
623,почу́вствовать,verb,,perfective,to feel,FALSE
624,бу́дущее,noun,neuter,,future,FALSE
625,коридо́р,noun,masculine,,corridor,FALSE
626,то́лстый,adjective,,,fat; thick,FALSE
627,нра́виться,verb,,imperfective,to like; to please,FALSE
628,пра́вый,adjective,,,right; rightful,FALSE
629,больно́й,adjective,,,ill; sick,FALSE
630,ум,noun,masculine,,mind; intelligence,FALSE
631,ме́нее,adverb,,,less,FALSE
632,привести́,verb,,perfective,to bring; to lead,FALSE
633,предложи́ть,verb,,perfective,to suggest; to propose,FALSE
634,вы́звать,verb,,perfective,to cause; to call; to summon,FALSE
635,ма́ло,num,,,few; little (number),FALSE
636,кабине́т,noun,masculine,,office; study,FALSE
637,мно́гие,pronoun,,,many (people); a lot (pronoun),FALSE
638,легко́,adverb,,,easily; lightly,FALSE
639,коле́но,noun,neuter,,knee,FALSE
640,хвата́ть,verb,,imperfective,to be enough; to grab,FALSE
641,принести́,verb,,perfective,to bring,FALSE
642,вся́кое,pronoun,,,everything; all sorts of,FALSE
643,буты́лка,noun,feminine,,bottle,FALSE
644,госуда́рственный,adjective,,,state; government (adj),FALSE
645,рабо́чий,adjective,,,working; worker (adj),FALSE
646,сто,num,,,one hundred,FALSE
647,телефо́н,noun,masculine,,telephone,FALSE
648,компа́ния,noun,feminine,,company,FALSE
649,кру́пный,adjective,,,large; major,FALSE
650,откры́тый,adjective,,,open,FALSE
651,до́ктор,noun,masculine,,doctor,FALSE
652,принима́ть,verb,,imperfective,to accept; to take; to receive,FALSE
653,вниз,adverb,,,downwards; down,FALSE
654,а́втор,noun,masculine,,author,FALSE
655,мужи́к,noun,masculine,,peasant; fellow; bloke,FALSE
656,вовсе,adverb,,,at all; entirely,FALSE
657,интере́с,noun,masculine,,interest,FALSE
658,провести́,verb,,perfective,to carry out; to spend time,FALSE
659,хвати́ть,verb,,perfective,to be enough,FALSE
660,дво́е,num,,,two (people),FALSE
661,холо́дный,adjective,,,cold,FALSE
662,счет,noun,masculine,,account; bill; score,FALSE
663,споко́йно,adverb,,,calmly; quietly,FALSE
664,ме́стный,adjective,,,local,FALSE
665,лейтена́нт,noun,masculine,,lieutenant,FALSE
666,ору́жие,noun,neuter,,weapon; arms,FALSE
667,игра́,noun,feminine,,game,FALSE
668,приходи́ться,verb,,imperfective,to have to; to be obliged,FALSE
669,кри́кнуть,verb,,perfective,to shout out; to cry out,FALSE
670,попроси́ть,verb,,perfective,to ask; to request,FALSE
671,тре́бовать,verb,,imperfective,to demand; to require,FALSE
672,бой,noun,masculine,,battle; fight,FALSE
673,ка́чество,noun,neuter,,quality,FALSE
674,смея́ться,verb,,imperfective,to laugh,FALSE
675,родно́й,adjective,,,native; dear; own,FALSE
676,жёлтый,adjective,,,yellow,FALSE
677,член,noun,masculine,,member,FALSE
678,доста́точно,adverb,,,sufficiently; enough,FALSE
679,хлеб,noun,masculine,,bread,FALSE
680,присла́ть,verb,,perfective,to send,FALSE
681,золото́й,adjective,,,golden; gold,FALSE
682,полити́ческий,adjective,,,political,FALSE
683,обы́чный,adjective,,,usual; ordinary,FALSE
684,разви́тие,noun,neuter,,development,FALSE
685,ва́жный,adjective,,,important,FALSE
686,банк,noun,masculine,,bank,FALSE
687,сове́т,noun,masculine,,advice; council; soviet,FALSE
688,сто́лько,adverb,,,so much; so many,FALSE
689,возвраща́ться,verb,,imperfective,to return; to go back,FALSE
690,тру́бка,noun,feminine,,pipe; tube; receiver,FALSE
691,ладо́нь,noun,feminine,,palm (of hand),FALSE
692,желе́зный,adjective,,,iron (adjective),FALSE
693,ока́зываться,verb,,imperfective,to turn out; to find oneself,FALSE
694,институ́т,noun,masculine,,institute,FALSE
695,потеря́ть,verb,,perfective,to lose,FALSE
696,молода́я,noun,feminine,,young woman; bride,FALSE
697,прави́тельство,noun,neuter,,government,FALSE
698,остально́й,pronoun,,,the rest; other,FALSE
699,вы́пить,verb,,perfective,to drink (completed),FALSE
700,пока́зывать,verb,,imperfective,to show (habitual),FALSE
701,иде́я,noun,feminine,,idea,FALSE
702,то́чка,noun,feminine,,point; dot,FALSE
703,у́ровень,noun,masculine,,level,FALSE
704,профе́ссор,noun,masculine,,professor,FALSE
705,нау́ка,noun,feminine,,science,FALSE
706,собы́тие,noun,neuter,,event,FALSE
707,сою́з,noun,masculine,,union,FALSE
708,коро́ль,noun,masculine,,king,FALSE
709,полови́на,noun,feminine,,half,FALSE
710,метр,noun,masculine,,metre,FALSE
711,отда́ть,verb,,perfective,to give back; to hand over,FALSE
712,ве́ра,noun,feminine,,faith; belief,FALSE
713,кивну́ть,verb,,perfective,to nod,FALSE
714,о́бласть,noun,feminine,,region; area; field,FALSE
715,исче́знуть,verb,,perfective,to disappear,FALSE
716,ситуа́ция,noun,feminine,,situation,FALSE
717,ку́хня,noun,feminine,,kitchen,FALSE
718,наде́жда,noun,feminine,,hope,FALSE
719,род,noun,masculine,,family; kind; genus,FALSE
720,офице́р,noun,masculine,,officer,FALSE
721,си́ний,adjective,,,blue (dark blue),FALSE
722,тече́ние,noun,neuter,,current; flow,FALSE
723,информа́ция,noun,feminine,,information,FALSE
724,получи́ться,verb,,perfective,to work out; to turn out,FALSE
725,помо́чь,verb,,perfective,to help,FALSE
726,тёплый,adjective,,,warm,FALSE
727,мо́лча,adverb,,,silently; in silence,FALSE
728,неме́цкий,adjective,,,German (adjective),FALSE
729,ви́димо,adverb,,,apparently; evidently,FALSE
730,бить,verb,,imperfective,to beat; to hit,FALSE
731,ча́стый,adjective,,,frequent,FALSE
732,по́здний,adjective,,,late,FALSE
733,созда́ть,verb,,perfective,to create,FALSE
734,со́рок,num,,,forty,FALSE
735,грани́ца,noun,feminine,,border; boundary,FALSE
736,слеза́,noun,feminine,,tear,FALSE
737,поско́льку,conjunction,,,since; as,FALSE
738,расска́з,noun,masculine,,story; tale,FALSE
739,вспонима́ть,verb,,imperfective,to recall; to remember,FALSE
740,получа́ть,verb,,imperfective,to receive; to get (habitual),FALSE
741,трава́,noun,feminine,,grass,FALSE
742,шесть,num,,,six,FALSE
743,упа́сть,verb,,perfective,to fall,FALSE
744,три́дцать,num,,,thirty,FALSE
745,борьба́,noun,feminine,,struggle; fight,FALSE
746,доста́ть,verb,,perfective,to get out; to take out; to reach,FALSE
747,ше́я,noun,feminine,,neck,FALSE
748,деся́ток,noun,masculine,,dozen; ten,FALSE
749,наде́яться,verb,,imperfective,to hope,FALSE
750,толпа́,noun,feminine,,crowd,FALSE
751,моско́вский,adjective,,,Moscow (adjective),FALSE
752,роди́тель,noun,masculine,,parent,FALSE
753,пра́вило,noun,neuter,,rule,FALSE
754,слать,verb,,imperfective,to send (habitual),FALSE
755,секу́нда,noun,feminine,,second,FALSE
756,придти́сь,verb,,perfective,to have to; to be forced,FALSE
757,вздохну́ть,verb,,perfective,to sigh,FALSE
758,уве́ренный,adjective,,,confident; sure,FALSE
759,неизве́стный,adjective,,,unknown,FALSE
760,програ́мма,noun,feminine,,programme,FALSE
761,фами́лия,noun,feminine,,surname; family name,FALSE
762,звук,noun,masculine,,sound,FALSE
763,рома́н,noun,masculine,,novel; romance,FALSE
764,мно́го,num,,,many (number),FALSE
765,неожи́данно,adverb,,,unexpectedly; suddenly,FALSE
766,вон,adverb,,,over there; away,FALSE
767,то́нкий,adjective,,,thin; slender,FALSE
768,чай,noun,masculine,,tea,FALSE
769,вну́тренний,adjective,,,inner; internal,FALSE
770,роль,noun,feminine,,role; part,FALSE
771,созна́ние,noun,neuter,,consciousness; awareness,FALSE
772,верный,adjective,,,faithful; correct; right,FALSE
773,кома́нда,noun,feminine,,team; command,FALSE
774,спаси́бо,noun,neuter,,thank you,FALSE
775,прекра́сный,adjective,,,wonderful; splendid; beautiful,FALSE
776,петь,verb,,imperfective,to sing,FALSE
777,магази́н,noun,masculine,,shop; store,FALSE
778,впервы́е,adverb,,,for the first time,FALSE
779,америка́нский,adjective,,,American,FALSE
780,воро́т,noun,masculine,,collar,FALSE
781,прости́ть,verb,,perfective,to forgive,FALSE
782,полко́вник,noun,masculine,,colonel,FALSE
783,приро́да,noun,feminine,,nature,FALSE
784,си́льно,adverb,,,strongly; very much,FALSE
785,за́пах,noun,masculine,,smell; scent,FALSE
786,поэ́т,noun,masculine,,poet,FALSE
787,райо́н,noun,masculine,,district; region,FALSE
788,лист,noun,masculine,,leaf; sheet,FALSE
789,переста́ть,verb,,perfective,to stop; to cease,FALSE
790,стекло́,noun,neuter,,glass,FALSE
791,вы́ше,adverb,,,higher; above,FALSE
792,коли́чество,noun,neuter,,quantity; number,FALSE
793,эта́ж,noun,masculine,,floor; storey,FALSE
794,тип,noun,masculine,,type; sort; fellow,FALSE
795,пожа́ловать,verb,,perfective,to welcome; to grant,FALSE
796,свобо́да,noun,feminine,,freedom; liberty,FALSE
797,сапо́г,noun,masculine,,boot,FALSE
798,суд,noun,masculine,,court; trial,FALSE
799,чей,adjective,,,whose,FALSE
800,вы́ход,noun,masculine,,exit; way out,FALSE
801,дед,noun,masculine,,grandfather,FALSE
802,лоб,noun,masculine,,forehead,FALSE
803,кре́сло,noun,neuter,,armchair,FALSE
804,дочь,noun,feminine,,daughter,FALSE
805,серьёзный,adjective,,,serious,FALSE
806,ожида́ть,verb,,imperfective,to expect; to wait for,FALSE
807,хара́ктер,noun,masculine,,character; nature; temper,FALSE
808,о́пыт,noun,masculine,,experience,FALSE
809,пло́щадь,noun,feminine,,square; area,FALSE
810,вновь,adverb,,,anew; again,FALSE
811,бы́стрый,adjective,,,fast; quick,FALSE
812,появля́ться,verb,,imperfective,to appear (habitual),FALSE
813,управле́ние,noun,neuter,,management; administration,FALSE
814,свя́занный,adjective,,,connected; linked,FALSE
815,мне́ние,noun,neuter,,opinion,FALSE
816,впереди́,preposition,,,ahead; in front,FALSE
817,испо́льзовать,verb,,imp/perf,to use,FALSE
818,взгляну́ть,verb,,perfective,to glance; to take a look,FALSE
819,револю́ция,noun,feminine,,revolution,FALSE
820,до́лгий,adjective,,,long,FALSE
821,улы́бка,noun,feminine,,smile,FALSE
822,рост,noun,masculine,,growth; height,FALSE
823,ло́шадь,noun,feminine,,horse,FALSE
824,ти́хий,adjective,,,quiet; gentle,FALSE
825,глубо́кий,adjective,,,deep,FALSE
826,ле́вый,adjective,,,left,FALSE
827,ко́жа,noun,feminine,,skin; leather,FALSE
828,при́шлый,adjective,,,newly arrived; stranger,FALSE
829,звезда́,noun,feminine,,star,FALSE
830,по́езд,noun,masculine,,train,FALSE
831,протяну́ть,verb,,perfective,stretch out; reach out,FALSE
832,служи́ть,verb,,imperfective,to serve,FALSE
833,сестра́,noun,feminine,,sister,FALSE
834,пожа́луйста,adverb,,,please,FALSE
835,уе́хать,verb,,perfective,to leave; to go away (vehicle),FALSE
836,пове́рить,verb,,perfective,to believe,FALSE
837,ба́ба,noun,feminine,,old woman; woman (col.),FALSE
838,не́чего,adverb,,,nothing to do; there is nothing,FALSE
839,цвето́к,noun,masculine,,flower,FALSE
840,дождь,noun,masculine,,rain,FALSE
841,жела́ние,noun,neuter,,desire; wish,FALSE
842,боле́знь,noun,feminine,,illness; disease,FALSE
843,вызыва́ть,verb,,imperfective,to cause; to call (habitual),FALSE
844,называ́ться,verb,,imperfective,to be called; to be named,FALSE
845,встре́тить,verb,,perfective,to meet,FALSE
846,сосе́д,noun,masculine,,neighbour,FALSE
847,приме́р,noun,masculine,,example,FALSE
848,разгова́ривать,verb,,imperfective,to talk; to converse,FALSE
849,позво́лить,verb,,perfective,to allow; to permit,FALSE
850,обнару́жить,verb,,perfective,to discover; to find,FALSE
851,да́ма,noun,feminine,,lady; woman,FALSE
852,поверну́ться,verb,,perfective,to turn around,FALSE
853,о́рган,noun,masculine,,organ,FALSE
854,по́ле,noun,neuter,,field,FALSE
855,я́щик,noun,masculine,,box; drawer,FALSE
856,цена́,noun,feminine,,price,FALSE
857,подходи́ть,verb,,imperfective,to approach; to suit,FALSE
858,горя́чий,adjective,,,hot,FALSE
859,ми́лый,adjective,,,dear; sweet; kind,FALSE
860,сла́бый,adjective,,,weak,FALSE
861,ах,interj,,,ah!; oh!,FALSE
862,ка́рта,noun,feminine,,card; map,FALSE
863,сла́ва,noun,feminine,,glory; fame,FALSE
864,ра́дость,noun,feminine,,joy,FALSE
865,зато́,conjunction,,,but; on the other hand,FALSE
866,тень,noun,feminine,,shadow,FALSE
867,висе́ть,verb,,imperfective,to hang,FALSE
868,опера́ция,noun,feminine,,operation,FALSE
869,вы́глядеть,verb,,imperfective,to look; to appear,FALSE
870,де́йствовать,verb,,imperfective,to act,FALSE
871,нести́,verb,,imperfective,to carry; to bear,FALSE
872,му́зыка,noun,feminine,,music,FALSE
873,голубо́й,adjective,,,light blue,FALSE
874,горе́ть,verb,,imperfective,to burn,FALSE
875,заво́д,noun,masculine,,factory; plant,FALSE
876,доба́вить,verb,,perfective,to add,FALSE
877,ле́то,noun,neuter,,summer,FALSE
878,весьма́,adverb,,,very; highly; considerably,FALSE
879,сади́ться,verb,,imperfective,to sit down (habitual),FALSE
880,и́бо,conjunction,,,for; because,FALSE
881,ме́лкий,adjective,,,small; petty; fine,FALSE
882,помога́ть,verb,,imperfective,to help (habitual),FALSE
883,люби́мый,adjective,,,favourite; beloved,FALSE
884,ста́нция,noun,feminine,,station,FALSE
885,по́вод,noun,masculine,,reason; pretext,FALSE
886,во́ля,noun,feminine,,will; freedom,FALSE
887,литература,noun,feminine,,literature,FALSE
888,де́тский,adjective,,,children's; childlike,FALSE
889,пра́вильно,adverb,,,correctly; rightly,FALSE
890,дура́к,noun,masculine,,fool; idiot,FALSE
891,прика́з,noun,masculine,,order; command,FALSE
892,граждани́н,noun,masculine,,citizen,FALSE
893,интере́сно,adverb,,,interestingly; it is interesting,FALSE
894,счастли́вый,adjective,,,happy; fortunate,FALSE
895,кры́ша,noun,feminine,,roof,FALSE
896,цвет,noun,masculine,,colour,FALSE
897,весёлый,adjective,,,cheerful; merry,FALSE
898,повтори́ть,verb,,perfective,to repeat,FALSE
899,невозмо́жно,adverb,,,it is impossible; one cannot,FALSE
900,статья́,noun,feminine,,article,FALSE
901,круг,noun,masculine,,circle; round,FALSE
902,столь,adverb,,,so; to such a degree,FALSE
903,факт,noun,masculine,,fact,FALSE
904,бок,noun,masculine,,side,FALSE
905,относи́ться,verb,,imperfective,to relate to; to treat,FALSE
906,причём,adverb,,,moreover; besides,FALSE
907,учи́ться,verb,,imperfective,to study; to learn,FALSE
908,стул,noun,masculine,,chair,FALSE
909,удиви́ться,verb,,perfective,to be surprised,FALSE
910,сре́дний,adjective,,,middle; average,FALSE
911,совреме́нный,adjective,,,modern; contemporary,FALSE
912,ла́герь,noun,masculine,,camp,FALSE
913,войско́,noun,neuter,,army; troops,FALSE
914,неда́вно,adverb,,,recently,FALSE
915,удово́льствие,noun,neuter,,pleasure,FALSE
916,вино́,noun,neuter,,wine,FALSE
917,возраст,noun,masculine,,age,FALSE
918,поги́бнуть,verb,,perfective,to perish; to die,FALSE
919,спосо́бный,adjective,,,capable; able,FALSE
920,ле́стница,noun,feminine,,staircase; stairs,FALSE
921,держа́ться,verb,,imperfective,to hold on; to keep going,FALSE
922,мини́стр,noun,masculine,,minister,FALSE
923,фронт,noun,masculine,,front,FALSE
924,переда́ть,verb,,perfective,to pass on; to transmit,FALSE
925,обра́тно,adverb,,,back; backwards,FALSE
926,стреля́ть,verb,,imperfective,to shoot,FALSE
927,петербу́рг,noun,masculine,,St Petersburg,FALSE
928,неуже́ли,particle,,,really?; surely not?,FALSE
929,сад,noun,masculine,,garden,FALSE
930,проводи́ть,verb,,imperfective,to accompany; to carry out,FALSE
931,зада́ча,noun,feminine,,task; problem,FALSE
932,о́стрый,adjective,,,sharp; acute,FALSE
933,мол,particle,,,they say; allegedly (particle),FALSE
934,осторо́жно,adverb,,,carefully; cautiously,FALSE
935,свобо́дный,adjective,,,free,FALSE
936,входи́ть,verb,,imperfective,to enter; to go in (habitual),FALSE
937,темнота́,noun,feminine,,darkness,FALSE
938,назва́ние,noun,neuter,,name; title,FALSE
939,дви́гаться,verb,,imperfective,to move,FALSE
940,возни́кнуть,verb,,perfective,to arise; to emerge,FALSE
941,большинство́,noun,neuter,,majority,FALSE
942,организа́ция,noun,feminine,,organisation,FALSE
943,дым,noun,masculine,,smoke,FALSE
944,вы́сший,adjective,,,highest; supreme,FALSE
945,киломе́тр,noun,masculine,,kilometre,FALSE
946,позвони́ть,verb,,perfective,to phone; to ring,FALSE
947,закрича́ть,verb,,perfective,to shout out; to cry out,FALSE
948,ради́,preposition,,,for the sake of,FALSE
949,председа́тель,noun,masculine,,chairman,FALSE
950,приказа́ть,verb,,perfective,to order; to command,FALSE
951,прямо́й,adjective,,,straight; direct,FALSE
952,про́чее,pronoun,,,the rest; other things,FALSE
953,слегка́,adverb,,,slightly; a little,FALSE
954,попро́бовать,verb,,perfective,to try; to attempt,FALSE
955,вско́ре,adverb,,,soon; before long,FALSE
956,вверх,adverb,,,upwards; up,FALSE
957,ночно́й,adjective,,,night (adjective); nocturnal,FALSE
958,до́ллар,noun,masculine,,dollar,FALSE
959,носи́ть,verb,,imperfective,to carry; to wear,FALSE
960,выраже́ние,noun,neuter,,expression,FALSE
961,кончи́ться,verb,,perfective,to end; to finish,FALSE
962,пла́кать,verb,,imperfective,to cry; to weep,FALSE
963,танк,noun,masculine,,tank,FALSE
964,меша́ть,verb,,imperfective,to hinder; to bother; to mix,FALSE
965,сухо́й,adjective,,,dry,FALSE
966,зима́,noun,feminine,,winter,FALSE
967,знак,noun,masculine,,sign; symbol,FALSE
968,семь,num,,,seven,FALSE
969,получа́ться,verb,,imperfective,to work out; to turn out,FALSE
970,мозг,noun,masculine,,brain,FALSE
971,учи́тель,noun,masculine,,teacher,FALSE
972,жела́ть,verb,,imperfective,to wish; to desire,FALSE
973,обяза́тельно,adverb,,,certainly; without fail,FALSE
974,майо́р,noun,masculine,,major,FALSE
975,привы́кнуть,verb,,perfective,to get used to,FALSE
976,поня́тно,adverb,,,clear; understandable,FALSE
977,суди́ть,verb,,imperfective,to judge,FALSE
978,тишина́,noun,feminine,,silence,FALSE
979,крова́ть,noun,feminine,,bed,FALSE
980,очередно́й,adjective,,,next; another,FALSE
981,де́ятельность,noun,feminine,,activity,FALSE
982,сша,noun,plural,,USA,FALSE
983,ры́ба,noun,feminine,,fish,FALSE
984,щека́,noun,feminine,,cheek,FALSE
985,пти́ца,noun,feminine,,bird,FALSE
986,обеща́ть,verb,,imp/perf,to promise,FALSE
987,стра́шно,adverb,,,frightening; terribly,FALSE
988,ста́вить,verb,,imperfective,to put; to place,FALSE
989,стра́нно,adverb,,,strangely,FALSE
990,па́па,noun,masculine,,dad; father,FALSE
991,каса́ться,verb,,imperfective,to touch; to concern,FALSE
992,во́дка,noun,feminine,,vodka,FALSE
993,зда́ние,noun,neuter,,building,FALSE
994,коло́ть,verb,,imperfective,to prick; to stab, FALSE
995,зе́ркало,noun,neuter,,mirror,FALSE
996,собра́ться,verb,,perfective,to gather; to meet,FALSE
997,искусство,noun,neuter,,art,FALSE
998,нача́ло,noun,neuter,,beginning; start,FALSE
999,па́хнуть,verb,,imperfective,to smell,FALSE
1000,возника́ет,verb,,imperfective,to arise),FALSE
